 ,Rat ID,LI Score,SR_Anna's_mom_index,LI_Anna's_mom_index,SR_Annas_Score,SR_Score (Correct-Incorrect)_ All_sessions,Max (Correct-Incorrect),SR_Slope 11_sessions,SR_Slope 11_ 2se_blocks,SR_Slope_ 11se_Norm,SR_Slope_ 11se_2se_blocks _Norm,SR_Slope 6_sessions,SR_Slope 6_  2se_blocks,SR_Slope_ 6se_Norm,SR_Slope_ 6se_2se_blocks _Norm
1,1,1.731054293,0.077697094,0.831393579,0.451659452,313,63,-4.1,-7.55,-0.0651,-0.1291,-15.943,-27.5,-0.2531,-0.4701
2,2,0.383390531,0.569080598,0.655990163,0.234651712,795,308,-23.445,-51.2,-0.0761,-0.2138,-52.714,-129.25,-0.1712,-0.5397
3,3,0.3378795,0.701769728,0.76235769,0.54309327,460,77,-2.4455,-2.4,-0.0318,-0.0421,-8.1143,-13.5,-0.1054,-0.2368
4,4,2.092943025,0.719132705,1,0.413729128,223,49,-3.2818,-6.35,-0.067,-0.1693,-4.1714,-6.5,-0.0851,-0.1733
5,5,0.704432405,-0.071254817,0.820050446,0.234042553,121,47,-2.3636,-6.55,-0.0503,-0.2382,-2.6,-9,-0.0553,-0.3273
6,6,-0.873052898,0.324562796,0.340390029,0.262899263,428,148,-6.4,-14.6,-0.0432,-0.1604,-13.714,-25,-0.0927,-0.2747
7,7,-0.047020845,0.377494305,0.471384917,0.432052484,461,97,-1.4727,-1.75,-0.0152,-0.0203,14.314,24.25,0.1476,0.282
8,8,0.624714382,0.384341094,0.790029387,0.542024014,316,53,-3,-4.85,-0.0566,-0.1155,-1.9429,-2.75,-0.0367,-0.0655
9,11,0.440439637,0.664090308,0.785136973,0.481818182,212,40,-1.8455,-4.05,-0.0461,-0.1373,-3.7143,-5.75,-0.0929,-0.1949
10,12,0.40874735,0.718541835,0.687540951,0.329809725,312,86,-6.4455,-14.05,-0.0749,-0.1965,-14.629,-29.25,-0.1701,-0.4091
11,13,0.482969925,0.676381016,0.809767487,0.290799562,531,166,-9.8545,-20.75,-0.0594,-0.1744,-23.571,-43.25,-0.142,-0.3634
12,14,1.419579358,0.37735719,1,0.623140496,377,55,-2.6727,-5.7,-0.0486,-0.1175,-3,-7.75,-0.06,-0.1598
13,15,0.596362934,0.264979747,0.892986572,0.53030303,455,78,-1.1636,-2.05,-0.0149,-0.0281,12.457,23.75,0.1597,0.3253
14,16,0.057021338,0.320649229,0.537462573,0.497326203,186,34,-0.7455,-1.65,-0.0219,-0.0786,0.0286,-1.5,0.0008,-0.0714
15,17,0.102150066,0.455956304,0.594696681,0.297979798,413,126,-3.9273,-9.15,-0.0312,-0.1022,-1.1143,0.5,-0.0088,0.0056
16,18,0.876478318,0.728966507,1,0.37312253,472,115,-6.7,-15.25,-0.0583,-0.1968,-12.114,-21.75,-0.1053,-0.2806